"","Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"83","Atlantic halibut","Atlantic","biomass_spring","Biological","mean of last 10 years vs historic mean",1.65084241616705,19,51,8,0.372549019607843,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"84","Atlantic halibut","Atlantic","avg_length_fall","Biological","mean of last 10 years vs historic mean",1.00247350680214,11,51,8,0.215686274509804,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"85","Atlantic halibut","Atlantic","avg_length_spring","Biological","mean of last 10 years vs historic mean",1.15254128952031,1,51,8,0.0196078431372549,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"86","Atlantic halibut","Atlantic","max_length_fall","Biological","mean of last 10 years vs historic mean",1.01109031071427,16,51,8,0.313725490196078,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"87","Atlantic halibut","Atlantic","max_length_spring","Biological","mean of last 10 years vs historic mean",1.16583831106653,3,51,8,0.0588235294117647,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"88","Atlantic halibut","Atlantic","diet","Biological","all",5,11,11,8,1,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"89","Atlantic halibut","Atlantic","rec_catch","Social","average of 2014 - 2019 data",2243,3,31,8,0.0967741935483871,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"90","Atlantic halibut","Atlantic","com_catch_max","Social","1950",448800,7,36,8,0.194444444444444,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"91","Atlantic halibut","Atlantic","com_catch_5yr","Social","average of 2014 - 2019 data",172804,8,35,8,0.228571428571429,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"92","Atlantic halibut","Atlantic","com_catch_hist","Social","mean of last 10 years vs historic mean",0.761678350105786,12,34,8,0.333333333333333,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
