"","Species","Region","Indicator","Year","Value","rank","norm_rank","n_stocks"
"233","Jonah crab","Georges Bank / Southern New England","max_length_spring","mean of last 10 years vs historic mean",0.68406526439945,51,1,51
"234","American lobster","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",1.19199353236018,3,0.0588235294117647,51
"235","Atlantic cod","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.797263062679093,49,0.96078431372549,51
"236","Haddock","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.860553232323456,42,0.823529411764706,51
"237","Yellowtail flounder","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.994546939318546,19,0.372549019607843,51
"238","Windowpane","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.927893818551057,37,0.725490196078431,51
"239","Winter flounder","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",1.00184097514125,16,0.313725490196078,51
"240","Atlantic cod","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",0.84043169015793,44,0.862745098039216,51
"241","Haddock","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",0.943179039454538,34,0.666666666666667,51
"242","Winter flounder","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",0.994626754671377,18,0.352941176470588,51
"243","Goosefish","Gulf of Maine / Northern Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.89026956880283,39,0.764705882352941,51
"244","Yellowtail flounder","Cape Cod / Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",0.945351543907065,33,0.647058823529412,51
"245","Silver hake","Gulf of Maine / Northern Georges Bank","max_length_spring","mean of last 10 years vs historic mean",1.27566179077458,1,0.0196078431372549,51
"246","Red hake","Gulf of Maine / Northern Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.966117498754806,25,0.490196078431373,51
"247","American lobster","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",1.07868751840839,7,0.137254901960784,51
"248","Jonah crab","Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.834308132002586,46,0.901960784313726,51
"249","Jonah crab","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",1.20536839449498,2,0.0392156862745098,51
"250","Silver hake","Southern Georges Bank / Mid-Atlantic","diet","all",12,4,0.363636363636364,11
"251","Red hake","Southern Georges Bank / Mid-Atlantic","diet","all",13,3,0.272727272727273,11
"252","Yellowtail flounder","Southern New England / Mid-Atlantic","diet","all",11,5,0.454545454545455,11
"253","Atlantic cod","Georges Bank","diet","all",14,2,0.181818181818182,11
"254","Haddock","Georges Bank","diet","all",15,1,0.0909090909090909,11
"255","Silver hake","Gulf of Maine / Northern Georges Bank","diet","all",12,4,0.363636363636364,11
"256","Yellowtail flounder","Georges Bank","diet","all",10,6,0.545454545454545,11
"257","Atlantic cod","Gulf of Maine","diet","all",12,4,0.363636363636364,11
"258","Haddock","Gulf of Maine","diet","all",11,5,0.454545454545455,11
"259","Winter flounder","Southern New England / Mid-Atlantic","diet","all",14,2,0.181818181818182,11
"260","Red hake","Gulf of Maine / Northern Georges Bank","diet","all",13,3,0.272727272727273,11
"261","Yellowtail flounder","Cape Cod / Gulf of Maine","diet","all",10,6,0.545454545454545,11
"262","Windowpane","Southern New England / Mid-Atlantic","diet","all",12,4,0.363636363636364,11
"263","Goosefish","Southern Georges Bank / Mid-Atlantic","diet","all",12,4,0.363636363636364,11
"264","Winter flounder","Georges Bank","diet","all",12,4,0.363636363636364,11
"265","Windowpane","Gulf of Maine / Georges Bank","diet","all",12,4,0.363636363636364,11
"266","Goosefish","Gulf of Maine / Northern Georges Bank","diet","all",12,4,0.363636363636364,11
"267","Winter flounder","Gulf of Maine","diet","all",12,4,0.363636363636364,11
"268","Spiny dogfish",NA,"biomass_fall","mean of last 10 years vs historic mean",1.83155713326719,20,0.392156862745098,51
"269","Winter skate","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",2.00793845466965,17,0.333333333333333,51
"270","Little skate","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",3.4420482495049,4,0.0784313725490196,51
"271","Alewife",NA,"biomass_fall","mean of last 10 years vs historic mean",2.61375832006809,11,0.215686274509804,51
"272","Pollock","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.646700034650846,46,0.901960784313726,51
"273","White hake","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.03746046125653,36,0.705882352941177,51
"274","American plaice","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",1.23869755043536,31,0.607843137254902,51
"275","Ocean pout","Northwestern Atlantic Coast","biomass_fall","mean of last 10 years vs historic mean",0.907876347699849,40,0.784313725490196,51
"276","Atlantic herring","Northwestern Atlantic Coast","biomass_fall","mean of last 10 years vs historic mean",2.44560847808709,12,0.235294117647059,51
"277","Atlantic halibut","Northwestern Atlantic Coast","biomass_fall","mean of last 10 years vs historic mean",1.05664175892375,35,0.686274509803922,51
"278","Barndoor skate","Georges Bank / Southern New England","biomass_fall","mean of last 10 years vs historic mean",1.91590522232381,19,0.372549019607843,51
"279","Witch flounder",NA,"biomass_fall","mean of last 10 years vs historic mean",0.953071120525596,38,0.745098039215686,51
"280","Atlantic mackerel","Gulf of Maine / Cape Hatteras","biomass_fall","mean of last 10 years vs historic mean",1.98347515928574,18,0.352941176470588,51
"281","Acadian redfish","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",2.05987795157399,15,0.294117647058824,51
"282","Atlantic wolffish","Gulf of Maine / Georges Bank","biomass_fall","mean of last 10 years vs historic mean",0.595716498595045,48,0.941176470588235,51
"283","Thorny skate","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",0.426036526647969,50,0.980392156862745,51
"284","Smooth skate","Gulf of Maine","biomass_fall","mean of last 10 years vs historic mean",2.34658254353425,13,0.254901960784314,51
"285","Blueback herring",NA,"biomass_fall","mean of last 10 years vs historic mean",3.08328024071879,8,0.156862745098039,51
"286","Butterfish","Gulf of Maine / Cape Hatteras","biomass_fall","mean of last 10 years vs historic mean",1.39019861656554,28,0.549019607843137,51
"287","Offshore hake",NA,"biomass_fall","mean of last 10 years vs historic mean",0.80188068610329,43,0.843137254901961,51
"288","Summer flounder",NA,"biomass_fall","mean of last 10 years vs historic mean",1.56292389035158,23,0.450980392156863,51
"289","Black sea bass",NA,"biomass_fall","mean of last 10 years vs historic mean",2.03674721979258,16,0.313725490196078,51
"290","Scup",NA,"biomass_fall","mean of last 10 years vs historic mean",1.42432901679805,26,0.509803921568627,51
"291","Smooth dogfish",NA,"biomass_fall","mean of last 10 years vs historic mean",0.485878603930571,49,0.96078431372549,51
"292","Rosette skate","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",2.71091535232285,10,0.196078431372549,51
"293","Clearnose skate","Southern New England / Mid-Atlantic","biomass_fall","mean of last 10 years vs historic mean",3.6765456600967,2,0.0392156862745098,51
"294","Bluefish",NA,"biomass_fall","mean of last 10 years vs historic mean",0.38048540192331,51,1,51
"295","Winter skate","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",1.33485780472795,22,0.431372549019608,51
"296","Little skate","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",1.85006878160177,13,0.254901960784314,51
"297","Ocean pout","Northwestern Atlantic Coast","biomass_spring","mean of last 10 years vs historic mean",0.325362101309256,50,0.980392156862745,51
"298","Spiny dogfish",NA,"biomass_spring","mean of last 10 years vs historic mean",1.39362736486903,20,0.392156862745098,51
"299","Alewife",NA,"biomass_spring","mean of last 10 years vs historic mean",1.28558407578273,25,0.490196078431373,51
"300","Atlantic herring","Northwestern Atlantic Coast","biomass_spring","mean of last 10 years vs historic mean",2.20367914140068,10,0.196078431372549,51
"301","Atlantic mackerel","Gulf of Maine / Cape Hatteras","biomass_spring","mean of last 10 years vs historic mean",0.703127278001486,41,0.803921568627451,51
"302","Blueback herring",NA,"biomass_spring","mean of last 10 years vs historic mean",1.64889684086892,16,0.313725490196078,51
"303","Smooth dogfish",NA,"biomass_spring","mean of last 10 years vs historic mean",1.76278032808771,15,0.294117647058824,51
"304","Clearnose skate","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",2.38503133607019,9,0.176470588235294,51
"305","Summer flounder",NA,"biomass_spring","mean of last 10 years vs historic mean",1.88456702085267,12,0.235294117647059,51
"306","Butterfish","Gulf of Maine / Cape Hatteras","biomass_spring","mean of last 10 years vs historic mean",1.1698747222465,29,0.568627450980392,51
"307","Black sea bass",NA,"biomass_spring","mean of last 10 years vs historic mean",1.26378935331292,26,0.509803921568627,51
"308","Scup",NA,"biomass_spring","mean of last 10 years vs historic mean",1.25365444534211,28,0.549019607843137,51
"309","Rosette skate","Southern New England / Mid-Atlantic","biomass_spring","mean of last 10 years vs historic mean",2.56191415813502,7,0.137254901960784,51
"310","Offshore hake",NA,"biomass_spring","mean of last 10 years vs historic mean",0.619943791979978,44,0.862745098039216,51
"311","Barndoor skate","Georges Bank / Southern New England","biomass_spring","mean of last 10 years vs historic mean",1.05141131492021,32,0.627450980392157,51
"312","Thorny skate","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",0.546964186081395,45,0.882352941176471,51
"313","Pollock","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.30076896809777,24,0.470588235294118,51
"314","Smooth skate","Gulf of Maine","biomass_spring","mean of last 10 years vs historic mean",1.62750464192308,17,0.333333333333333,51
"315","American plaice","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.06987540149163,30,0.588235294117647,51
"316","Atlantic wolffish","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.374702615146371,48,0.941176470588235,51
"317","Witch flounder",NA,"biomass_spring","mean of last 10 years vs historic mean",0.663865980092868,42,0.823529411764706,51
"318","Acadian redfish","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",1.33232485469944,23,0.450980392156863,51
"319","White hake","Gulf of Maine / Georges Bank","biomass_spring","mean of last 10 years vs historic mean",0.841320543455479,34,0.666666666666667,51
"320","Atlantic halibut","Northwestern Atlantic Coast","biomass_spring","mean of last 10 years vs historic mean",1.60622505356794,18,0.352941176470588,51
"321","Bluefish",NA,"biomass_spring","mean of last 10 years vs historic mean",0.405378921829181,47,0.92156862745098,51
"322","Spiny dogfish",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.902940054613207,34,0.666666666666667,51
"323","Winter skate","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",0.918862120254813,29,0.568627450980392,51
"324","Little skate","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",0.969252877308122,19,0.372549019607843,51
"325","Alewife",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.964440816385686,22,0.431372549019608,51
"326","Pollock","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.773303230433646,48,0.941176470588235,51
"327","White hake","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.925962322182281,28,0.549019607843137,51
"328","American plaice","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.890753561520575,39,0.764705882352941,51
"329","Ocean pout","Northwestern Atlantic Coast","avg_length_fall","mean of last 10 years vs historic mean",0.78928602399933,45,0.882352941176471,51
"330","Atlantic herring","Northwestern Atlantic Coast","avg_length_fall","mean of last 10 years vs historic mean",0.931594665557732,25,0.490196078431373,51
"331","Atlantic halibut","Northwestern Atlantic Coast","avg_length_fall","mean of last 10 years vs historic mean",1.00247350680214,11,0.215686274509804,51
"332","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.910874538235296,31,0.607843137254902,51
"333","Barndoor skate","Georges Bank / Southern New England","avg_length_fall","mean of last 10 years vs historic mean",0.96467099040502,21,0.411764705882353,51
"334","Witch flounder",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.788421770500419,46,0.901960784313726,51
"335","Atlantic mackerel","Gulf of Maine / Cape Hatteras","avg_length_fall","mean of last 10 years vs historic mean",0.972566818916575,18,0.352941176470588,51
"336","Atlantic wolffish","Gulf of Maine / Georges Bank","avg_length_fall","mean of last 10 years vs historic mean",0.896346692352064,38,0.745098039215686,51
"337","Thorny skate","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.838018726916301,42,0.823529411764706,51
"338","Smooth skate","Gulf of Maine","avg_length_fall","mean of last 10 years vs historic mean",0.898757751585842,36,0.705882352941177,51
"339","Blueback herring",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.975512925405572,17,0.333333333333333,51
"340","Butterfish","Gulf of Maine / Cape Hatteras","avg_length_fall","mean of last 10 years vs historic mean",1.01687732358751,9,0.176470588235294,51
"341","Offshore hake",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.802136562960545,44,0.862745098039216,51
"342","Summer flounder",NA,"avg_length_fall","mean of last 10 years vs historic mean",1.02588101536818,7,0.137254901960784,51
"343","Black sea bass",NA,"avg_length_fall","mean of last 10 years vs historic mean",1.19946881117512,1,0.0196078431372549,51
"344","Scup",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.926490323236384,27,0.529411764705882,51
"345","Smooth dogfish",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.907065260440996,32,0.627450980392157,51
"346","Rosette skate","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",1.01231576958809,10,0.196078431372549,51
"347","Clearnose skate","Southern New England / Mid-Atlantic","avg_length_fall","mean of last 10 years vs historic mean",0.999275295334649,12,0.235294117647059,51
"348","Bluefish",NA,"avg_length_fall","mean of last 10 years vs historic mean",0.812440212561847,43,0.843137254901961,51
"349","Winter skate","Georges Bank / Southern New England","avg_length_spring","mean of last 10 years vs historic mean",0.96739720165534,18,0.352941176470588,51
"350","Little skate","Georges Bank / Southern New England","avg_length_spring","mean of last 10 years vs historic mean",1.00298924601177,13,0.254901960784314,51
"351","Ocean pout","Northwestern Atlantic Coast","avg_length_spring","mean of last 10 years vs historic mean",0.799810998639089,46,0.901960784313726,51
"352","Spiny dogfish",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.922621635581053,28,0.549019607843137,51
"353","Atlantic herring","Northwestern Atlantic Coast","avg_length_spring","mean of last 10 years vs historic mean",1.02338203152715,8,0.156862745098039,51
"354","Alewife",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.971797397020981,17,0.333333333333333,51
"355","Blueback herring",NA,"avg_length_spring","mean of last 10 years vs historic mean",1.07376321751112,4,0.0784313725490196,51
"356","Atlantic mackerel","Gulf of Maine / Cape Hatteras","avg_length_spring","mean of last 10 years vs historic mean",0.944344257460836,23,0.450980392156863,51
"357","Smooth dogfish",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.986450333480699,14,0.274509803921569,51
"358","Clearnose skate","Southern New England / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",1.052031724943,5,0.0980392156862745,51
"359","Summer flounder",NA,"avg_length_spring","mean of last 10 years vs historic mean",1.07412235068903,3,0.0588235294117647,51
"360","Butterfish","Gulf of Maine / Cape Hatteras","avg_length_spring","mean of last 10 years vs historic mean",0.927362573648096,27,0.529411764705882,51
"361","Black sea bass",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.953394081512927,20,0.392156862745098,51
"362","Scup",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.915159671735987,29,0.568627450980392,51
"363","Rosette skate","Southern New England / Mid-Atlantic","avg_length_spring","mean of last 10 years vs historic mean",0.978877266828401,16,0.313725490196078,51
"364","Offshore hake",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.74380916811158,49,0.96078431372549,51
"365","Barndoor skate","Georges Bank / Southern New England","avg_length_spring","mean of last 10 years vs historic mean",1.00912940313377,12,0.235294117647059,51
"366","Thorny skate","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.899799881279181,31,0.607843137254902,51
"367","Pollock","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.870257836812955,38,0.745098039215686,51
"368","American plaice","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.933985057435695,26,0.509803921568627,51
"369","Smooth skate","Gulf of Maine","avg_length_spring","mean of last 10 years vs historic mean",0.895177637956924,33,0.647058823529412,51
"370","Atlantic wolffish","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.804466299609551,45,0.882352941176471,51
"371","Witch flounder",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.816839570354396,44,0.862745098039216,51
"372","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.895198069790182,32,0.627450980392157,51
"373","White hake","Gulf of Maine / Georges Bank","avg_length_spring","mean of last 10 years vs historic mean",0.941674972771636,25,0.490196078431373,51
"374","Atlantic halibut","Northwestern Atlantic Coast","avg_length_spring","mean of last 10 years vs historic mean",1.15254128952031,1,0.0196078431372549,51
"375","Bluefish",NA,"avg_length_spring","mean of last 10 years vs historic mean",0.820608259359487,42,0.823529411764706,51
"376","Spiny dogfish",NA,"max_length_fall","mean of last 10 years vs historic mean",0.932409878415317,34,0.666666666666667,51
"377","Winter skate","Georges Bank / Southern New England","max_length_fall","mean of last 10 years vs historic mean",0.983843634084077,24,0.470588235294118,51
"378","Little skate","Georges Bank / Southern New England","max_length_fall","mean of last 10 years vs historic mean",1.02986245827481,15,0.294117647058824,51
"379","Alewife",NA,"max_length_fall","mean of last 10 years vs historic mean",1.00190963101248,23,0.450980392156863,51
"380","Pollock","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.785857010360834,50,0.980392156862745,51
"381","White hake","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.927389317725112,36,0.705882352941177,51
"382","American plaice","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.902906487919489,40,0.784313725490196,51
"383","Ocean pout","Northwestern Atlantic Coast","max_length_fall","mean of last 10 years vs historic mean",0.827202510189336,47,0.92156862745098,51
"384","Atlantic herring","Northwestern Atlantic Coast","max_length_fall","mean of last 10 years vs historic mean",0.948762563632692,31,0.607843137254902,51
"385","Atlantic halibut","Northwestern Atlantic Coast","max_length_fall","mean of last 10 years vs historic mean",1.01109031071427,17,0.333333333333333,51
"386","Acadian redfish","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.971251742271857,27,0.529411764705882,51
"387","Barndoor skate","Georges Bank / Southern New England","max_length_fall","mean of last 10 years vs historic mean",1.03883018893754,13,0.254901960784314,51
"388","Witch flounder",NA,"max_length_fall","mean of last 10 years vs historic mean",0.858519848694309,44,0.862745098039216,51
"389","Atlantic mackerel","Gulf of Maine / Cape Hatteras","max_length_fall","mean of last 10 years vs historic mean",1.00954612973837,18,0.352941176470588,51
"390","Atlantic wolffish","Gulf of Maine / Georges Bank","max_length_fall","mean of last 10 years vs historic mean",0.909954546495386,38,0.745098039215686,51
"391","Thorny skate","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",0.811626178493787,48,0.941176470588235,51
"392","Smooth skate","Gulf of Maine","max_length_fall","mean of last 10 years vs historic mean",1.03170762672657,14,0.274509803921569,51
"393","Blueback herring",NA,"max_length_fall","mean of last 10 years vs historic mean",1.00439531888283,21,0.411764705882353,51
"394","Butterfish","Gulf of Maine / Cape Hatteras","max_length_fall","mean of last 10 years vs historic mean",1.04248349964642,12,0.235294117647059,51
"395","Offshore hake",NA,"max_length_fall","mean of last 10 years vs historic mean",0.860142323680688,43,0.843137254901961,51
"396","Summer flounder",NA,"max_length_fall","mean of last 10 years vs historic mean",1.05982486880994,7,0.137254901960784,51
"397","Black sea bass",NA,"max_length_fall","mean of last 10 years vs historic mean",1.21663618001384,1,0.0196078431372549,51
"398","Scup",NA,"max_length_fall","mean of last 10 years vs historic mean",1.05928821361205,8,0.156862745098039,51
"399","Smooth dogfish",NA,"max_length_fall","mean of last 10 years vs historic mean",0.907408546473655,39,0.764705882352941,51
"400","Rosette skate","Southern New England / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",1.05524962384284,9,0.176470588235294,51
"401","Clearnose skate","Southern New England / Mid-Atlantic","max_length_fall","mean of last 10 years vs historic mean",1.07289996672616,6,0.117647058823529,51
"402","Bluefish",NA,"max_length_fall","mean of last 10 years vs historic mean",0.777086938538109,51,1,51
"403","Winter skate","Georges Bank / Southern New England","max_length_spring","mean of last 10 years vs historic mean",0.979175093037933,22,0.431372549019608,51
"404","Little skate","Georges Bank / Southern New England","max_length_spring","mean of last 10 years vs historic mean",1.02036113227986,13,0.254901960784314,51
"405","Ocean pout","Northwestern Atlantic Coast","max_length_spring","mean of last 10 years vs historic mean",0.811305149982505,47,0.92156862745098,51
"406","Spiny dogfish",NA,"max_length_spring","mean of last 10 years vs historic mean",0.950231782484938,29,0.568627450980392,51
"407","Atlantic herring","Northwestern Atlantic Coast","max_length_spring","mean of last 10 years vs historic mean",1.02927743464377,11,0.215686274509804,51
"408","Alewife",NA,"max_length_spring","mean of last 10 years vs historic mean",0.999395247622477,17,0.333333333333333,51
"409","Blueback herring",NA,"max_length_spring","mean of last 10 years vs historic mean",1.06141642247677,9,0.176470588235294,51
"410","Atlantic mackerel","Gulf of Maine / Cape Hatteras","max_length_spring","mean of last 10 years vs historic mean",0.946337473844185,30,0.588235294117647,51
"411","Smooth dogfish",NA,"max_length_spring","mean of last 10 years vs historic mean",1.00548617104016,15,0.294117647058824,51
"412","Clearnose skate","Southern New England / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",1.0657229321923,8,0.156862745098039,51
"413","Summer flounder",NA,"max_length_spring","mean of last 10 years vs historic mean",1.12660294032308,5,0.0980392156862745,51
"414","Butterfish","Gulf of Maine / Cape Hatteras","max_length_spring","mean of last 10 years vs historic mean",0.960319067316992,26,0.509803921568627,51
"415","Black sea bass",NA,"max_length_spring","mean of last 10 years vs historic mean",0.981629003135988,21,0.411764705882353,51
"416","Scup",NA,"max_length_spring","mean of last 10 years vs historic mean",0.969453846475283,23,0.450980392156863,51
"417","Rosette skate","Southern New England / Mid-Atlantic","max_length_spring","mean of last 10 years vs historic mean",1.02600822182627,12,0.235294117647059,51
"418","Offshore hake",NA,"max_length_spring","mean of last 10 years vs historic mean",0.837338685765896,45,0.882352941176471,51
"419","Barndoor skate","Georges Bank / Southern New England","max_length_spring","mean of last 10 years vs historic mean",1.09440480014926,6,0.117647058823529,51
"420","Thorny skate","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",0.853055165829456,43,0.843137254901961,51
"421","Pollock","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.878249780706604,41,0.803921568627451,51
"422","American plaice","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.946215496667139,31,0.607843137254902,51
"423","Smooth skate","Gulf of Maine","max_length_spring","mean of last 10 years vs historic mean",1.00618693753556,14,0.274509803921569,51
"424","Atlantic wolffish","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.794627857880789,50,0.980392156862745,51
"425","Witch flounder",NA,"max_length_spring","mean of last 10 years vs historic mean",0.880205876938182,40,0.784313725490196,51
"426","Acadian redfish","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.959142792104322,27,0.529411764705882,51
"427","White hake","Gulf of Maine / Georges Bank","max_length_spring","mean of last 10 years vs historic mean",0.938552428515085,35,0.686274509803922,51
"428","Atlantic halibut","Northwestern Atlantic Coast","max_length_spring","mean of last 10 years vs historic mean",1.16583831106653,4,0.0784313725490196,51
"429","Bluefish",NA,"max_length_spring","mean of last 10 years vs historic mean",0.807542983915696,48,0.941176470588235,51
"430","Ocean pout","Northwestern Atlantic Coast","diet","all",12,4,0.363636363636364,11
"431","Little skate","Georges Bank / Southern New England","diet","all",14,2,0.181818181818182,11
"432","Butterfish","Gulf of Maine / Cape Hatteras","diet","all",11,5,0.454545454545455,11
"433","Scup",NA,"diet","all",13,3,0.272727272727273,11
"434","Pollock","Gulf of Maine / Georges Bank","diet","all",13,3,0.272727272727273,11
"435","American plaice","Gulf of Maine / Georges Bank","diet","all",10,6,0.545454545454545,11
"436","Witch flounder",NA,"diet","all",9,7,0.636363636363636,11
"437","White hake","Gulf of Maine / Georges Bank","diet","all",13,3,0.272727272727273,11
"438","Acadian redfish","Gulf of Maine / Georges Bank","diet","all",10,6,0.545454545454545,11
"439","Winter skate","Georges Bank / Southern New England","diet","all",13,3,0.272727272727273,11
"440","Black sea bass",NA,"diet","all",13,3,0.272727272727273,11
"441","Spiny dogfish",NA,"diet","all",13,3,0.272727272727273,11
"442","Rosette skate","Southern New England / Mid-Atlantic","diet","all",10,6,0.545454545454545,11
"443","Summer flounder",NA,"diet","all",10,6,0.545454545454545,11
"444","Clearnose skate","Southern New England / Mid-Atlantic","diet","all",11,5,0.454545454545455,11
"445","Smooth dogfish",NA,"diet","all",13,3,0.272727272727273,11
"446","Blueback herring",NA,"diet","all",10,6,0.545454545454545,11
"447","Atlantic mackerel","Gulf of Maine / Cape Hatteras","diet","all",11,5,0.454545454545455,11
"448","Alewife",NA,"diet","all",10,6,0.545454545454545,11
"449","Thorny skate","Gulf of Maine","diet","all",10,6,0.545454545454545,11
"450","Atlantic wolffish","Gulf of Maine / Georges Bank","diet","all",6,10,0.909090909090909,11
"451","Smooth skate","Gulf of Maine","diet","all",9,7,0.636363636363636,11
"452","Atlantic herring","Northwestern Atlantic Coast","diet","all",13,3,0.272727272727273,11
"453","Bluefish",NA,"diet","all",10,6,0.545454545454545,11
"454","Atlantic halibut","Northwestern Atlantic Coast","diet","all",5,11,1,11
"455","Offshore hake",NA,"diet","all",8,8,0.727272727272727,11
"456","Barndoor skate","Georges Bank / Southern New England","diet","all",11,5,0.454545454545455,11
"457","Atlantic herring","Northwestern Atlantic Coast","rec_catch","average of 2014 - 2019 data",171075,19,0.612903225806452,31
"458","Atlantic wolffish","Gulf of Maine / Georges Bank","rec_catch","average of 2014 - 2019 data",38156,13,0.419354838709677,31
"459","Ocean pout","Northwestern Atlantic Coast","rec_catch","average of 2014 - 2019 data",856,2,0.0645161290322581,31
"460","Pollock","Gulf of Maine / Georges Bank","rec_catch","average of 2014 - 2019 data",915508,24,0.774193548387097,31
"461","Red hake","Gulf of Maine / Northern Georges Bank","rec_catch","average of 2014 - 2019 data",28938,12,0.387096774193548,31
"462","Red hake","Southern Georges Bank / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",28938,12,0.387096774193548,31
"463","Silver hake","Gulf of Maine / Northern Georges Bank","rec_catch","average of 2014 - 2019 data",119765,17,0.548387096774194,31
"464","Silver hake","Southern Georges Bank / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",119765,17,0.548387096774194,31
"465","White hake","Gulf of Maine / Georges Bank","rec_catch","average of 2014 - 2019 data",9051,9,0.290322580645161,31
"466","Windowpane","Gulf of Maine / Georges Bank","rec_catch","average of 2014 - 2019 data",8354,8,0.258064516129032,31
"467","Windowpane","Southern New England / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",8354,8,0.258064516129032,31
"468","Winter flounder","Georges Bank","rec_catch","average of 2014 - 2019 data",211765,20,0.645161290322581,31
"469","Winter flounder","Gulf of Maine","rec_catch","average of 2014 - 2019 data",211765,20,0.645161290322581,31
"470","Yellowtail flounder","Georges Bank","rec_catch","average of 2014 - 2019 data",7462,7,0.225806451612903,31
