"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Black sea bass",1967,"NEW YORK",109800,35792,274164.843265918
"Black sea bass",1967,"RHODE ISLAND",48200,15442,118284.910307116
"Black sea bass",1967,"VIRGINIA",1409600,203001,1554977.01575281
"Black sea bass",1966,"CONNECTICUT",18600,4762,37492.3815167458
"Black sea bass",1966,"MARYLAND",211900,29136,229394.797957141
"Black sea bass",1966,"MASSACHUSETTS",1500,213,1677.00068523034
"Black sea bass",1966,"NEW JERSEY",960600,188701,1485688.76198896
"Black sea bass",1966,"NEW YORK",220900,59064,465025.204095984
"Black sea bass",1966,"RHODE ISLAND",89500,27848,219254.061419222
"Black sea bass",1966,"VIRGINIA",1886300,214165,1686173.01292185
"Black sea bass",1965,"CONNECTICUT",23600,6204,50305.7753237829
"Black sea bass",1965,"MARYLAND",243400,29499,239195.690889147
"Black sea bass",1965,"MASSACHUSETTS",10600,1379,11181.7640508537
"Black sea bass",1965,"NEW JERSEY",2146200,343772,2787510.798615
"Black sea bass",1965,"NEW YORK",381600,84467,684909.401075752
"Black sea bass",1965,"RHODE ISLAND",97900,25882,209866.872490353
"Black sea bass",1965,"VIRGINIA",4770900,367841,2982676.77319078
"Black sea bass",1964,"CONNECTICUT",27600,5321,43827.0195161897
"Black sea bass",1964,"MARYLAND",293300,29014,238977.09908715
"Black sea bass",1964,"MASSACHUSETTS",10400,1687,13895.1666836707
"Black sea bass",1964,"NEW JERSEY",2194900,335309,2761810.57826612
"Black sea bass",1964,"NEW YORK",500700,95821,789240.525664501
"Black sea bass",1964,"RHODE ISLAND",150800,31054,255779.790275466
"Black sea bass",1964,"VIRGINIA",3752400,361329,2976127.25705042
"Black sea bass",1963,"CONNECTICUT",28800,4059,33874.4198340588
"Black sea bass",1963,"MARYLAND",304200,26109,217892.886781828
"Black sea bass",1963,"MASSACHUSETTS",16900,1890,15773.0114526659
"Black sea bass",1963,"NEW JERSEY",2812300,333690,2784812.79980958
"Black sea bass",1963,"NEW YORK",576400,108664,906856.357932535
"Black sea bass",1963,"RHODE ISLAND",113700,17557,146522.096335691
"Black sea bass",1963,"VIRGINIA",4316400,555465,4635637.99288629
"Black sea bass",1962,"CONNECTICUT",30200,4668,39446.1558285588
"Black sea bass",1962,"MARYLAND",339400,29068,245634.288265756
"Black sea bass",1962,"MASSACHUSETTS",48400,6223,52586.4241047818
"Black sea bass",1962,"NEW JERSEY",2621400,341943,2889532.31844149
"Black sea bass",1962,"NEW YORK",523600,101879,860911.505924967
"Black sea bass",1962,"RHODE ISLAND",146000,21958,185552.418526884
"Black sea bass",1962,"VIRGINIA",4126800,667055,5636837.07716781
"Black sea bass",1961,"CONNECTICUT",42000,7789,66593.7358592052
"Black sea bass",1961,"MARYLAND",138500,19147,163701.4071763
"Black sea bass",1961,"MASSACHUSETTS",50700,7406,63319.1947327351
"Black sea bass",1961,"NEW JERSEY",1497100,273368,2337218.69102057
"Black sea bass",1961,"NEW YORK",312700,77055,658798.345953403
"Black sea bass",1961,"RHODE ISLAND",170100,36297,310329.032029987
"Black sea bass",1961,"VIRGINIA",3210600,534444,4569344.27622764
"Black sea bass",1960,"CONNECTICUT",35800,5602,48408.1629711002
"Black sea bass",1960,"DELAWARE",100,15,129.618429947609
"Black sea bass",1960,"MARYLAND",128000,17437,150677.104199763
"Black sea bass",1960,"MASSACHUSETTS",63500,6282,54284.1984620585
"Black sea bass",1960,"NEW JERSEY",2205800,361880,3127087.82862937
"Black sea bass",1960,"NEW YORK",524100,99387,858825.793146865
"Black sea bass",1960,"RHODE ISLAND",209500,38308,331028.187628866
"Black sea bass",1960,"VIRGINIA",3668800,522578,4515715.99234409
"Black sea bass",1959,"CONNECTICUT",36600,4873,42737.0876415094
"Black sea bass",1959,"MARYLAND",156500,18862,165423.137101201
"Black sea bass",1959,"MASSACHUSETTS",61800,7700,67530.3867924528
"Black sea bass",1959,"NEW JERSEY",3739200,493053,4324163.61028302
"Black sea bass",1959,"NEW YORK",611500,115367,1011789.3679331
"Black sea bass",1959,"RHODE ISLAND",183200,26511,232506.244708405
"Black sea bass",1959,"VIRGINIA",3267600,446188,3913149.11975986
"Black sea bass",1958,"CONNECTICUT",47600,6379,56466.3808494676
"Black sea bass",1958,"MARYLAND",251800,25362,224502.328124188
"Black sea bass",1958,"MASSACHUSETTS",80700,7392,65433.3731367401
"Black sea bass",1958,"NEW JERSEY",4226600,464302,4109962.93481259
"Black sea bass",1958,"NEW YORK",841700,129959,1150386.32839253
"Black sea bass",1958,"RHODE ISLAND",375600,41738,369461.326837291
"Black sea bass",1958,"VIRGINIA",5730200,628504,5563465.46941743
"Black sea bass",1957,"CONNECTICUT",215600,31686,288139.067980792
"Black sea bass",1957,"MARYLAND",205100,19484,177179.246371828
"Black sea bass",1957,"MASSACHUSETTS",119400,9614,87425.645381788
"Black sea bass",1957,"NEW JERSEY",3636000,382720,3480293.63433721
"Black sea bass",1957,"NEW YORK",809200,107369,976368.225400166
"Black sea bass",1957,"RHODE ISLAND",334000,40533,368589.940114418
"Black sea bass",1957,"VIRGINIA",4202100,530482,4823978.69912853
"Black sea bass",1956,"CONNECTICUT",24400,3126,29390.94343682
"Black sea bass",1956,"MARYLAND",229500,22675,213192.463989089
"Black sea bass",1956,"MASSACHUSETTS",73600,6199,58283.5759324527
"Black sea bass",1956,"NEW JERSEY",4207200,393712,3701716.92974961
"Black sea bass",1956,"NEW YORK",510200,66068,621177.495516259
"Black sea bass",1956,"RHODE ISLAND",413300,49365,464134.332296423
"Black sea bass",1956,"VIRGINIA",6110500,613860,5771568.95013638
"Black sea bass",1955,"CONNECTICUT",142600,17213,164223.903955839
"Black sea bass",1955,"MARYLAND",228700,18312,174709.122711864
"Black sea bass",1955,"MASSACHUSETTS",140500,9229,88051.031755559
"Black sea bass",1955,"NEW JERSEY",4133500,408661,3898908.08194371
"Black sea bass",1955,"NEW YORK",936400,120262,1147382.50958793
"Black sea bass",1955,"RHODE ISLAND",437000,46279,441533.611292179
"Black sea bass",1955,"VIRGINIA",5290900,479665,4576335.26352045
"Black sea bass",1954,"CONNECTICUT",59600,6812,64823.8566536386
"Black sea bass",1954,"MARYLAND",166100,18546,176486.090061418
"Black sea bass",1954,"MASSACHUSETTS",131600,10964,104334.815670947
"Black sea bass",1954,"NEW JERSEY",5029000,477777,4546586.576689
"Black sea bass",1954,"NEW YORK",1261400,176610,1680643.17727527
"Black sea bass",1954,"RHODE ISLAND",303800,30571,290917.516406105
"Black sea bass",1954,"VIRGINIA",4382700,488499,4648618.48964266
"Black sea bass",1953,"CONNECTICUT",39600,5013,47876.6157680095
"Black sea bass",1953,"MARYLAND",214300,18090,172768.398013822
"Black sea bass",1953,"MASSACHUSETTS",81200,5926,56596.2148496358
"Black sea bass",1953,"NEW JERSEY",5828700,518458,4951528.91638752
"Black sea bass",1953,"NEW YORK",1095500,122836,1173144.21992404
"Black sea bass",1953,"RHODE ISLAND",459400,40857,390204.446525746
"Black sea bass",1953,"VIRGINIA",6656700,730014,6971992.7754374
"Black sea bass",1952,"CONNECTICUT",52200,6832,65744.2631367629
"Black sea bass",1952,"DELAWARE",900,95,914.183986825596
"Black sea bass",1952,"MARYLAND",278700,27000,259820.712045169
"Black sea bass",1952,"MASSACHUSETTS",134300,7032,67668.8610037641
"Black sea bass",1952,"NEW JERSEY",9206900,815404,7846623.99572146
"Black sea bass",1952,"NEW YORK",1680100,183664,1767396.71322459
"Black sea bass",1952,"RHODE ISLAND",656200,55250,531670.160759097
"Black sea bass",1952,"VIRGINIA",9778300,1083296,10424545.854655
"Black sea bass",1951,"CONNECTICUT",61400,7344,72285.643275154
"Black sea bass",1951,"MARYLAND",320700,48000,472455.184804928
"Black sea bass",1951,"MASSACHUSETTS",103800,9104,89609.0000513347
"Black sea bass",1951,"NEW JERSEY",5657800,605596,5960770.21035678
"Black sea bass",1951,"NEW YORK",2791700,454084,4469465.41952002
"Black sea bass",1951,"RHODE ISLAND",724800,74074,729096.778317505
"Black sea bass",1951,"VIRGINIA",8771600,881399,8675448.48816414
"Black sea bass",1950,"CONNECTICUT",100400,9241,98180.5124467533
"Black sea bass",1950,"DELAWARE",1900,95,1009.32244155844
"Black sea bass",1950,"MARYLAND",395100,39550,420196.869090909
"Black sea bass",1950,"MASSACHUSETTS",48700,4351,46226.9678233766
"Black sea bass",1950,"NEW JERSEY",4563500,438016,4653677.66907013
"Black sea bass",1950,"NEW YORK",1897500,353975,3760788.53948052
"Black sea bass",1950,"RHODE ISLAND",326800,23138,245828.448976623
"Black sea bass",1950,"VIRGINIA",5311000,586080,6226775.75314286
