Sci_name,SVSPP,Com_name
CARCHARHINIDAE,361,REQUIEM SHARK UNCL
SPHYRNA LEWINI,362,SCALLOPED HAMMERHEAD SHARK
SPHYRNA MOKARRAN,363,GREAT HAMMERHEAD SHARK
SPHYRNA TIBURO,364,BONNETHEAD SHARK
SPHYRNA TUDES,365,SMALLEYE HAMMERHEAD SHARK
SPHYRNA ZYGAENA,366,SMOOTH HAMMERHEAD SHARK
NARCINE BRASILIENSIS,367,LESSER ELECTRIC RAY
RAJA ACKLEYI,368,OCELLATE SKATE
DIPTURUS OLSENI,370,SPREADFIN SKATE
BATHYRAJA SPINICAUDA,371,SPINYTAIL SKATE
RAJA TEXANA,372,ROUNDEL SKATE
DASYATIS SABINA,373,ATLANTIC STINGRAY
DASYATIS VIOLACEA,374,PELAGIC STINGRAY
GYMNURA ALTAVELA,375,SPINY BUTTERFLY RAY
GYMNURA MICRURA,376,SMOOTH BUTTERFLY RAY
UROLOPHUS JAMAICENSIS,377,YELLOW STINGRAY
MYLIOBATIS GOODEI,378,SOUTHERN EAGLE RAY
ACIPENSER BREVIROSTRUM,379,SHORTNOSE STURGEON
ACIPENSER OXYRHYNCHUS,380,ATLANTIC STURGEON
ELOPS SAURUS,381,LADYFISH
MEGALOPS ATLANTICUS,382,TARPON
ALBULA VULPES,383,BONEFISH
ANGUILLA ROSTRATA,384,AMERICAN EEL
ANARCHIAS SIMILIS,385,PYGMY MORAY
GYMNOTHORAX MORINGA,386,SPOTTED MORAY
GYMNOTHORAX NIGROMARGINATUS,387,BLACKEDGE MORAY
MURAENIDAE,388,MORAY UNCL
ARIOSOMA BALEARICUM,389,BANDTOOTH CONGER
CONGRIDAE,390,CONGER EEL UNCL
CALLECHELYS GUINIENSIS,391,SHORTTAIL SNAKE EEL
LETHARCHUS VELIFER,392,SAILFIN EEL
MYROPHIS PUNCTATUS,393,SPECKLED WORM EEL
ECHIOPHIS INTERTINCTUS,394,SPOTTED SPOON-NOSE EEL
OPHICHTHUS GOMESI,395,SHRIMP EEL
OPHICHTHUS PUNCTICEPS,396,PALESPOTTED EEL
APTERICHTUS ANSP,397,ACADEMY EEL
APTERICHTUS KENDALLI,398,FINLESS EEL
ECHIOPHIS ,399,SPOON-NOSE EEL UNCL
PLACOPECTEN MAGELLANICUS CLAPPER,400,SEA SCALLOP CLAPPER
PLACOPECTEN MAGELLANICUS,401,SEA SCALLOP
ARGOPECTEN IRRADIANS,402,BAY SCALLOP
SPISULA SOLIDISSIMA,403,ATLANTIC SURFCLAM
ARGOPECTEN GIBBUS,404,ATLANTIC CALICO SCALLOP
THRACIA ,405,DUCK-BILL SHELL UNCL
SPISULA SOLIDISSIMA CLAPPER,406,ATLANTIC SURFCLAM CLAPPER
MACTROMERIS POLYNYMA,407,ARCTIC SURFCLAM
MACTROMERIS POLYNYMA CLAPPER,408,ARCTIC SURFCLAM CLAPPER
ARCTICA ISLANDICA,409,OCEAN QUAHOG
ARCTICA ISLANDICA CLAPPER,410,OCEAN QUAHOG CLAPPER
MERCENARIA CAMPECHIENSIS,411,SOUTHERN QUAHOG
MERCENARIA CAMPECHIENSIS CLAPPER,412,SOUTHERN QUAHOG CLAPPER
MERCENARIA MERCENARIA,413,NORTHERN QUAHOG
MERCENARIA MERCENARIA CLAPPER,414,NORTHERN QUAHOG CLAPPER
PITAR MORRHUANUS,415,FALSE QUAHOG
SOLENIDAE,416,RAZOR AND JACKKNIFE CLAM UNCL
CYRTODARIA SILIQUA,417,NORTHERN PROPELLER CLAM
SERRIPES GROENLANDICUS,418,GREENLAND COCKLE
CYCLOCARDIA BOREALIS,419,NORTHERN CYCLOCARDIA
ASTARTE CASTANEA,420,SMOOTH ASTARTE
SYNGNATHIDAE,421,PIPEFISH SEAHORSE UNCL
CAPROIDAE,422,BOARFISH UNCL
ATHERINIDAE,423,SILVERSIDE UNCL
OPHICHTHIDAE,425,SNAKE EEL UNCL
DOROSOMA CEPEDIANUM,426,GIZZARD SHAD
JENKINSIA LAMPROTAENIA,427,DWARF HERRING
OPISTHONEMA OGLINUM,428,ATLANTIC THREAD HERRING
SARDINELLA AURITA,429,SPANISH SARDINE
ANCHOVIELLA PERFASCIATA,430,FLAT ANCHOVY
ONCORHYNCHUS MYKISS,431,RAINBOW TROUT
SALMO TRUTTA,432,BROWN TROUT
