Year,Jurisdiction,FMP,Stock,FSSI,Science Center,Regional Ecosystem,Status Stock?,Assessment Year,Assessment Month,Last Data Year,Record Status,Update Type,Review Type,Assessment Model,Model Version,TimeSeries Data?,Survey Links?,Life History Data,Abundance Data,Catch Data,Assessment Frequency,Adequate,Assessment Level,Citation,Lead Lab,Point of Contact,Comments,Minimum F,Maximum F,Best F,F Year,F Unit,F Basis,Flimit,Flimit Basis,Fmsy,Fmsy Basis,Ftarget,Ftarget Basis,F/Flimit,F/Fmsy,F/Ftarget,Minimum B,Maximum B,Best B,B Year,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit,Stock Level Relative to Bmsy,Final assessment report,Assessment working paper,Assessment model input and out file,Assessment review document (including CIE and SSC),Citable Evaluation Document (for non-assessed stocks in support of status determinations),Decision memo related to status determinations,Other,Decision memo related to inadequate rebuilding progress
2009,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2009,10,2008,Locked,Full Update,Full acceptance,ASAP,NFT 2008a,Y,Y,3,3,5,3,1,4,NEFSC CRD 09-17 (2009),NEFSC,James Weinberg,MSY from SAW-47 (2008),,,0.25,2008,Average_F,Ages_3-7+,0.310000002,F35%,0.310000002,F35% as proxy,0.254999995,F40%,0.805999994,0.805999994,0.980000019,,,46029,2008,mt,Spawning biomass,30037,0.5*Bmsy,60074,SSB35%,1.531999946,0.765999973,13122,mt,ABOVE,1,,,,,,,
2009,MAFMC,Tilefish,Tilefish - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2009,7,2008,Locked,Benchmark,Full acceptance,ASPIC Model,,Y,Y,1,1,2,2,1,3,NEFSC CRD 09-10 (2009),NEFSC,James Weinberg,"Even though the point estimate of biomass was slightly above the biomass target, the SARC review panel was not convinced that the tilefish stock was rebuilt.",,,0.059999999,2008,Annual Exploitation Rate,Frate,0.159999996,Fmsy,0.159999996,Direct estimate,,,0.375,0.375,,,,11910,2008,mt,Total stock biomass,,,11400,Direct Estimate,,1.044999957,1868,,NEAR,1,,,,,,,
2009,NEFMC,Atlantic Herring,Atlantic herring - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2009,7,2008,Locked,Full Update,Full acceptance,ASAP,2.0.1.9,Y,Y,3,3,5,2,1,4,TRAC Status Report 2009/04,NEFSC,Loretta O'Brien,,,,0.140000001,2008,Rate,Fishing_Mortality_For_Age_2+,0.270000011,,0.270000011,Fox surplus production model,,,0.518999994,0.518999994,,,,652000,2008,mt,Age 2+,335300,0.5*Bmsy,670600,Fox SP Model,1.945000052,0.972000003,178374,,NEAR,1,,,,,,,
2009,NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2009,6,2008,Locked,Full Update,Full acceptance,VPA,,,Y,4,2,5,3,1,4,TRAC Status Report 2009/03,NEFSC,Loretta O'Brien,"Average of 2 results, with and without DFO surveys

** Changed 11/19/2018, Min value = US only, Max = w/ DFO",0.800000012,0.899999976,,2008,Fully_Recruited_F,Age_4+,0.25,Fmsy,0.25,F40% SPR,,,,,,17800,22900,,2008,mt,Spawning biomass,21600,0.5 SSBmsy,43200,F40% SPR,,,,,BELOW,1,,,,,,,
2009,NEFMC,Northeast Skate Complex,Barndoor skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,Survey CPUE,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,"F is the percent change in the average survey index from 2008-2010 compared to 2007-2009.  The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. B is the average wt per survey tow during 2008-2010.  Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,,,2008,,,,,,,,,,,,,,1.019999981,2008,kg/tow,survey CPUE 3 yr avg,0.810000002,half avg survey CPUE,1.620000005,avg survey CPUE,1.258999944,0.629999995,,,BELOW,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,Survey CPUE,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,"F is the percent change in the average survey index from 2008-2010 compared to 2007-2009.  The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy and F/Flimit; they are not meaningful because of the quirky overfishing definition based on percentages. B is the average wt per survey tow during 2008-2010.  Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,,,2008,,,,,,,,,,,,,,1.039999962,2008,kg/tow,survey CPUE 3 yr avg,0.379999995,half avg survey CPUE,0.769999981,avg survey CPUE,2.736999989,1.350999951,,,ABOVE,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Little skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,Survey CPUE,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,"F is the percent change in the average survey index from 2008-2010 compared to 2007-2009.  The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy and F/Flimit; they are not meaningful because of the quirky overfishing definition based on percentages. B is the average wt per survey tow during 2008-2010.  Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,,,2008,,,,,,,,,,,,,,5.039999962,2008,kg/tow,survey CPUE 3 yr avg,3.50999999,half avg survey CPUE,7.03000021,avg survey CPUE,1.43599999,0.717000008,,,BELOW,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,Survey Abundance,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,,,,,2008,,,,,,,,,,,,,,0.052000001,2008,kg/tow,survey CPUE 3 yr avg,0.024,half avg survey CPUE,0.048,avg survey CPUE,2.167000055,1.082999945,,,ABOVE,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Smooth skate - Gulf of Maine | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,,,,,2008,,,,,,,,,,,,,,0.129999995,2008,kg/tow,survey CPUE 3 yr avg,0.144999996,half avg survey CPUE,0.289999992,Avg. survey CPUE,0.897000015,0.448000014,,,BELOW,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Thorny skate - Gulf of Maine | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,"F is the percent change in the average survey index from 2008-2010 compared to 2007-2009.  The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy and F/Flimit; they are not meaningful because of the quirky overfishing definition based on percentages. B is the average wt per survey tow during 2008-2010.  Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,,,2008,,,,,,,,,,,,,,0.419999987,2008,kg/tow,survey CPUE 3 yr avg,2.059999943,half avg survey CPUE,4.119999886,avg survey CPUE,0.203999996,0.101999998,,,BELOW,,,,,,,,
2009,NEFMC,Northeast Skate Complex,Winter skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2009,4,2008,Locked,Full Update,Full acceptance,Index,,,Y,2,1,0,2,0,1,"NEFSC Memo (Thompson) April 13, 2009",NEFSC,Jim Weinberg,,,,,2008,,,,,,,,,,,,,,5.230000019,2008,kg/tow,survey CPUE 3 yr avg,2.799999952,0.5*Bmsy,5.599999905,75th_percentile_survey_index,1.868000031,0.934000015,,,BELOW,,,,,,,,
2010,MAFMC,Bluefish,Bluefish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Full Update,Full acceptance,"
ASAP",,Y,Y,2,3,5,2,1,4,NEFSC CRD 10-15 (2010),NEFSC,James Weinberg,,,,0.100000001,2009,Instantaneous annual F averaged across ages,average F (F average across range of ages),0.189999998,Bev Holt relationship in ASAP,0.189999998,Bev Holt relationship in ASAP,,,0.526000023,0.526000023,,,,155991,2009,mt,Total stock biomass,73526,0.5*Bmsy,147051,Beverton Holt,2.121999979,1.06099999,15565,,ABOVE,1,,,,,,,
2010,MAFMC,"Mackerel, Squid and Butterfish",Atlantic mackerel - Gulf of Maine / Cape Hatteras,Y,NEFSC,Northeast Shelf,Y,2010,4,2008,Locked,Full Update,Reject - Results too uncertain to be considered adequate,ADAPT VPA,,,,4,3,4,1,0,4,TRAC Status Report 2010/01,NEFSC,James Weinberg,B & F values are indicative of trend only within the context of their time series.  BRPs were computed but rejected,,,,2008,Annual Exploitation Rate,,,F40%  ,,F40% as proxy,,,,,,,,,2008,mt,Spawning biomass,,,,,,,,,UNKNOWN,1,,,,,,,
2010,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Full Update,Full acceptance,SCALE,2009 Average,Y,Y,2,2,2,3,1,4,NEFSC CRD 10-13 (2010),NEFSC,James Weinberg,"This assessment was marked as REMAND - accept previous approach. Upon investigation, it appears as if the model was accepted for this assessment and the subsequent assessment (2011.06) was the remanded one.",,,0.289999992,2009,Annual Exploitation Rate,average F (F average across range of ages),0.419999987,F40%,0.419999987,F40% as proxy,,,0.689999998,0.689999998,,,,12978,2009,mt,Spawning biomass,6268,0.5*Bmsy,12537,Length-based YPR,2.071000099,1.034999967,3903,,ABOVE,1,,,,,,,
2010,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Partial Update,"Accept previous approach, remand new attempt",ASAP,NFT 2008a,Y,Y,2,3,4,3,1,4,NEFSC RD 10-16 (2010),NEFSC,James Weinberg,,,,0.043000001,2009,Average_F,Ages_2-7+,0.177000001,F40%,0.177000001,F40% as proxy,,,0.243000001,0.243000001,,,,154545,2009,mt,Spawning biomass,46022,0.5*Bmsy,92044,SSB40%,3.35800004,1.67900002,16161,mt,ABOVE,1,,,,,,,
2010,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Full Update,"Accept previous approach, remand new attempt",ASAP,NFT 2008a,Y,Y,3,3,5,3,1,4,NEFSC CRD 10-14 (2010),NEFSC,James Weinberg,,,,0.237000003,2009,Average_F,Ages_3-7+,0.310000002,F35%,0.310000002,F35% as proxy,0.254999995,F40%,0.764999986,0.764999986,0.92900002,,,53458,2009,mt,Spawning biomass,30037,0.5*Bmsy,60074,SSB35%,1.779999971,0.889999986,13122,mt,NEAR,1,,,,,,,
2010,NEFMC,Atlantic Sea Scallop,Sea scallop - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Benchmark,Full acceptance,CASA,,Y,Y,3,3,5,2,1,4,NEFSC CRD 10-09 (2010),NEFSC,James Weinberg,,,,0.377999991,2009,Annual Exploitation Rate,apical F (max F at age),0.379999995,Fmsy,0.379999995,Direct estimate,,,0.995000005,0.995000005,,,,129700,2009,mt (meat weight only),Meats >40mm height,62679,0.5*Bmsy,125358,Direct Estimate,2.069000006,1.034999967,24975,,ABOVE,1,,,,,,,
2010,NEFMC,Northeast Multispecies,Pollock - Gulf of Maine / Georges Bank,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Benchmark,Full acceptance,ASAP,,Y,Y,2,3,4,2,1,4,NEFSC CRD 10-09 (2010),NEFSC,James Weinberg,,,,0.07,2009,Annual Exploitation Rate,average F (F average across range of ages),0.25,F40%,0.25,F40% as proxy,,,0.280000001,0.280000001,,,,196000,2009,mt,Spawning biomass,45500,0.5SSBmsy,91000,SSB40%,4.308000088,2.154000044,16200,,ABOVE,1,,,,,,,
2010,NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2010,5,2009,Locked,Full Update,Full acceptance,VPA,,Y,Y,4,2,5,3,1,4,TRAC Status Report 2010/05,NEFSC,Loretta O'Brien,,,,0.150000006,2009,Fully_Recruited_F,Age_4+,0.25,Fmsy,0.25,F40% SPR,,,0.600000024,0.600000024,,,,14000,2009,mt,Spawning biomass,21600,0.5 SSBmsy,43200,F40% SPR,0.648000002,0.324000001,,,BELOW,1,,,,,,,
2010,NEFMC / MAFMC,Monkfish,Goosefish - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Benchmark,Full acceptance,SCALE,,Y,Y,3,2,2,2,1,4,NEFSC CRD 10-09 (2010),NEFSC,James Weinberg,This monkfish assessment has very high uncertainty.,,,0.100000001,2009,Apical_F,apical F (max F at age),0.430000007,Fmax,0.430000007,Fmax as proxy,,,0.232999995,0.232999995,,,,66062,2009,mt,Total stock biomass,26465,0.5Bmax,52930,Bmax,2.496000051,1.248000026,10745,mt,ABOVE,1,,,,,,,
2010,NEFMC / MAFMC,Monkfish,Goosefish - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2010,7,2009,Locked,Benchmark,Full acceptance,SCALE,,Y,Y,3,2,2,2,1,4,NEFSC CRD 10-09 (2010),NEFSC,James Weinberg,This monkfish assessment has very high uncertainty.,,,0.07,2009,Apical_F,Fully_Recruited_F,0.460000008,Fmax,0.460000008,Fmax as proxy,,,0.151999995,0.151999995,,,,131218,2009,mt,Total stock biomass,37245,0.5Bmax,74490,Bmax,3.523000002,1.761999965,15279,mt,ABOVE,1,,,,,,,
2010,NEFMC / MAFMC,Spiny Dogfish,Spiny dogfish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2010,5,2008,Locked,Full Update,Full acceptance,SCAL,Area-swept Survey Biomass,Y,Y,3,2,3,1,1,4,NEFSC 10-06 (2010),NEFSC,James Weinberg,Stock was rebuilt in 2008 and was above Btarget in 2009,,,0.109999999,2008,Full_F,Fully_Recruited_F_for_Females,0.324999988,length based model,0.324999988,length based model,,,0.338,0.338,,,,163256,2009,mt (female biomass only),female SSB,79644,0.5*Bmsy,159288,SSBmax,2.049999952,1.024999976,,,ABOVE,1,,,,,,,
2011,MAFMC,Bluefish,Bluefish - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2011,7,2010,Locked,Full Update,Full acceptance,"
ASAP",,Y,Y,2,3,5,2,1,4,"MAFMC Memo to Chris Moore, 7/6/2011. Bluefish ABC and Management Measures for 2012; and Bluefish 2011 Stock Assessment Update",NEFSC,James Weinberg,,,,0.140000001,2010,Instantaneous annual F averaged across ages,average F (F average across range of ages),0.189999998,Bev Holt relationship in ASAP,0.189999998,Bev Holt relationship in ASAP,,,0.736999989,0.736999989,,,,140300,2010,mt,Total stock biomass,73526,0.5*Bmsy,147051,Beverton Holt,1.907999992,0.953999996,15565,,NEAR,,,,,,,,
2011,MAFMC,"Mackerel, Squid and Butterfish",Longfin inshore squid - Georges Bank / Cape Hatteras | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,Partial acceptance - Biomass estimates,Index Method,Average Survey Abundance,Y,Y,2,1,3,1,0,1,NEFSC CRD 11-01 (2011),NEFSC,James Weinberg,,,,,,,,,,,,,,,,,,,54442,2009,Metric Tons,Total Stock Biomass,21203,0.5*Bmsy,42405,Avg. survey CPUE,2.568000078,1.284000039,,,ABOVE,1,,,,,,,
2011,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Black sea bass - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2011,6,2010,Locked,Partial Update,"Accept previous approach, remand new attempt",SCALE,,Y,Y,2,2,2,2,1,4,"MAFMC Memo to C. Moore, 6/27/11. Black Sea Bass Management Measures for 2012; & BSB 2012 Projection Update",NEFSC,James  R.Weinberg,"The Black sea bass benchmark assessment at SAW/SARC53 in December 2011 and published in Jan 2012, was rejected (as described in SIS record 2012.1.  Therefore, refer to the previous SIS record (i.e., 2010.7) to get the last accepted assessment info.",,,0.409999996,2010,Annual Exploitation Rate,average F (F average across range of ages),0.419999987,F40%,0.419999987,F40% as proxy,,,0.976000011,0.976000011,,,,13926,2010,,Spawning biomass,6268,0.5*Bmsy,12537,Length-based YPR,2.221999884,1.110999942,3903,,ABOVE,1,,,,,,1,
2011,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Scup - Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2011,10,2010,Locked,Full Update,"Accept previous approach, remand new attempt",ASAP,NFT 2008a,Y,Y,2,3,4,3,1,4,NEFSC RD 11-21 (2011),NEFSC,James Weinberg,,,,0.039999999,2010,Average_F,Ages_2-7+,0.177000001,F40%,0.177000001,F40% as proxy,,,0.225999996,0.225999996,,,,186262,2009,mt,Spawning biomass,46022,0.5*Bmsy,92044,SSB40%,4.046999931,2.023999929,16161,mt,ABOVE,1,,,,,,,
2011,MAFMC,"Summer Flounder, Scup and Black Sea Bass",Summer flounder - Mid-Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2011,10,2010,Locked,Full Update,"Accept previous approach, remand new attempt",ASAP,NFT 2008a,Y,Y,3,3,5,3,1,4,NEFSC CRD 11-20 (2011),NEFSC,James Weinberg,,,,0.216000006,2010,Annual Exploitation Rate,average F (F average across range of ages),0.310000002,F35%,0.310000002,F35% as proxy,0.254000008,F40%,0.697000027,0.697000027,0.850000024,,,60238,2010,mt,Spawning biomass,30037,0.5*Bmsy,60074,SSB35%,2.005000114,1.003000021,13122,mt,ABOVE,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Offshore hake - Northwestern Atlantic Coast,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,Reject - Data insufficient for assessment,AIM and SEINE,,,,1,1,1,1,0,1,NEFSC CRD 11-01 (2011),NEFSC,Jim Weinberg,Current BRPs were rejected in 2010 by SAW/SARC51 and no alternative BRPs were recommended.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
2011,NEFMC,Northeast Multispecies,Red hake - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,"Accept previous approach, remand new attempt",Index Method,,Y,Y,2,1,2,1,0,1,NEFSC CRD#11-01 (SAW/SARC-51),NEFSC,James Weinberg,"N. red hake:  F Year is filled in with ""2009"". In reality, the F estimate that is entered in SIS is the average of the estimates from 3 recent years (2007 - 2009).  B Year is filled in with ""2010"". In reality, the B estimate that is entered in SIS is  the average of the estimates from 3 recent years (2008 - 2010). SIS requires YYYY format and can not accept a range of years.
Basis for F limit and Fmsy needs a new option like “AIM analysis”.
Basis for the B limit should be the average of past survey indices, respectively.  This not currently on the list of options.
",,,0.103,2009,Annual Exploitation Rate,U (exploitation rate = catch/biomass),0.163000003,Fmsy,0.163000003,AIM-1980-2009,,,0.632000029,0.632000029,,,,2.420000076,2010,kg/tow,Survey CPUE,1.269999981,0.5*Bmsy,2.539999962,Average_Survey_CPUE_1980-2010,1.906000018,0.953000009,,,NEAR,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Red hake - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,"Accept previous approach, remand new attempt",Index Method,,Y,Y,2,1,2,1,0,1,NEFSC CRD#11-01 (SAW/SARC-51),NEFSC,James Weinberg,"S. Red hake:  F Year is filled in with ""2009"". In reality, the F estimate that is entered in SIS is  the average of the estimates from 3 recent years (2007 - 2009).  B Year is filled in with ""2010"". In reality, the B estimate that is entered in SIS is the average of the estimates from 3 recent spring surveys (2008 - 2010). SIS requires YYYY format and can not accept a range of years.
Basis for F limit and Fmsy needs a new option like “AIM analysis”.
Basis for the B limit should be the average of past survey indices, respectively.  This not currently on the list of options.
",,,1.149999976,2009,Annual Exploitation Rate,U (exploitation rate = catch/biomass),3.038000107,Fmsy,3.038000107,AIM_1980-2009,,,0.379000008,0.379000008,,,,0.949999988,2010,kg/tow,Survey CPUE,0.50999999,0.5*Bmsy,1.019999981,Survey_Abundance_1980-2010,1.863000035,0.930999994,,,NEAR,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Silver hake - Gulf of Maine / Northern Georges Bank,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,"Accept previous approach, remand new attempt",Index Method,,Y,Y,2,1,2,1,0,1,SARC-51 Report (2010; CRD #11-01),NEFSC,James Weinberg,"N. Silver hake:

F Year and B Year are filled in with ""2009"". In reality, the B and F estimates that are entered in SIS are  the average of the estimates from 3 recent fall surveys (2007 - 2009).  SIS requires YYYY format and can not accept a range of years.

The basis for the F limit and B limt should be the average of past exploitation ratios and past survey indices, respectively.  These are not currently on the list of options.


",,,0.202000007,2009,Annual Exploitation Rate,Landings/Avg._Survey_SPUE_2007-2009,2.779999971,Fmsy,2.779999971,F0.1,,,0.072999999,0.072999999,,,,6.203000069,2009,kg/tow,Survey_CPUE_2007_2009,3.210000038,,6.420000076,,1.932000041,0.966000021,,,NEAR,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Silver hake - Southern Georges Bank / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2011,2,2009,Locked,Benchmark,"Accept previous approach, remand new attempt",Index Method,,Y,Y,2,1,2,1,0,1,SARC-51 42 Report (2011; CRD 11-01),NEFSC,James Weinberg,"S. Silver hake:   F Year and B Year are filled in with ""2009"". In reality, the B and F estimates that are entered in SIS are  the average of the estimates from 3 recent years (2007 - 2009).  SIS requires YYYY format and can not accept a range of years.
The basis for the Fmsy should be the average of past exploitation ratios.  This is not currently on the list of options.
",,,5.867000103,2009,Annual Exploitation Rate,Landings/Avg.Survey_CPUE_2007-2009,34.18999863,Fmsy,34.18999863,Landings/Avg._Survey_CPUE_1973-1982,,,0.172000006,0.172000006,,,,1.110000014,2009,kg/tow,Avg._Survey_CPUE_2007-2009,0.829999983,0.5*Bmsy,1.649999976,Avg._Survey_CPUE_1973-1982,1.337000012,0.672999978,,,BELOW,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Winter flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2011,7,2010,Locked,Benchmark,Full acceptance,ADAPT VPA,,Y,Y,3,2,4,2,1,4,NEFSC CRD 11-11 (2011),NEFSC,James Weinberg,"In this assessment the reference points are direct MSY-based.  This is a change from GARM III in 2008. 

Jim W corrected the estimates of Bmsy, 1/2Bmsy and MSY on Sept 15, 2011.  A detailed explanation for why the estimates needed to be corrected is given in NEFSC CRD11-11.",,,0.150000006,2010,Instantaneous annual F averaged across ages,Ages_4-6,0.419999987,Fmsy,0.419999987,F40% as proxy,,,0.356999993,0.356999993,,,,9703,2010,mt,Spawning biomass,5900,0.5*Bmsy,11800,B40%,1.644999981,0.822000027,4400,mt,NEAR,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Winter flounder - Gulf of Maine,Y,NEFSC,Northeast Shelf,Y,2011,7,2010,Locked,Benchmark,Full acceptance,Index Method,,Y,Y,3,3,4,2,0,1,NEFSC CRD 11-11 (2011),NEFSC,James Weinberg,"Analytical model was not accepted.  They used a fall back analysis based on sweopt area biomass.  The Fmsy proxy is F40%, and it is expressed as an annual exploitation rate, not as an instantaneous annual rate.  Biomass is total biomass of fish >30 cm.",,,0.029999999,2010,catch/area-swept_biomass,U (exploitation rate = catch/biomass),0.230000004,Fmsy,0.230000004,F40% as proxy,,,0.129999995,0.129999995,,,,6341,,Metric Tons,Survey Biomass - 30+ cm,,,,,,,,,UNKNOWN,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Winter flounder - Southern New England / Mid-Atlantic,Y,NEFSC,Northeast Shelf,Y,2011,7,2010,Locked,Benchmark,Full acceptance,ASAP/SCAA,NFT 2011,Y,Y,3,2,4,2,1,4,NESC CRD 11-11 (2011),NEFSC,James Weinberg,In this assessment the reference points are direct MSY-based.  This is a change from GARM III in 2008.,,,0.050999999,2010,Fully_Recruited_F,Ages_4-5,0.289999992,Fmsy,0.289999992,F40% as proxy,,,0.175999999,0.175999999,,,,7076,2010,mt,Spawning biomass,21831,0.5*Bmsy,43661,B40%,0.324000001,0.162,11728,mt,BELOW,1,,,,,,,
2011,NEFMC,Northeast Multispecies,Yellowtail flounder - Georges Bank,Y,NEFSC,Northeast Shelf,Y,2011,6,2010,Locked,Full Update,Full acceptance,VPA,,Y,Y,4,2,5,3,1,4,TRAC Status Report 2011/01,NEFSC,Loretta O'Brien,,,,0.129999995,2010,Fully_Recruited_F,Ages_4+,0.25,Fmsy,0.25,F40% SPR,,,0.519999981,0.519999981,,,,8800,2010,mt,Spawning biomass,21600,0.5 SSBmsy,43200,F40% SPR,0.407000005,0.203999996,,,BELOW,1,,,,,,,
2011,NEFMC,Northeast Skate Complex,Barndoor skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2011,1,2010,Locked,Full Update,Full acceptance,Index,Survey CPUE,Y,Y,2,1,1,2,0,1,"NEFSC Memo (Thompson) Jan. 13, 2011",NEFSC,Jim Weinberg,"F is the percent change in the average survey index from 2008-2010 compared to 2007-2009.  The Fmsy proxy is the percent reduction allowed in the average survey index for the years given above, and the value for each skate species is based on variance in the survey time series. Ignore the ratio in SIS of F/Fmsy, it is not meaningful because of the quirky definition based on percentages. B is the average wt per survey tow during 2008-2010.  Bmsy proxy is the average of the spring or fall survey time series for a particular set of years.",,,10.10000038,2010,% Change in Survey CPUE,Change in Relative Abundance,-30,% change,,,,,9999,,,,,1.110000014,2010,kg/tow,Survey CPUE 3 Year Average,0.810000002,half avg survey CPUE,1.620000005,avg survey CPUE,1.370000005,0.685000002,,,BELOW,,,,,,,,
2011,NEFMC,Northeast Skate Complex,Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2011,1,2010,Locked,Full Update,Full acceptance,Index,Survey CPUE,Y,Y,2,1,1,2,0,1,"NEFSC Memo (Thompson) Jan. 13, 2011",NEFSC,Jim Weinberg,,,,-7.5,2010,% Change in Survey CPUE,Change in Relative Abundance,-30,% change,,,,,0.170000002,,,,,1.100000024,2010,kg/tow,Survey CPUE - 3 Year Average,0.379999995,half avg survey CPUE,0.769999981,avg survey CPUE,2.894999981,1.42900002,,,ABOVE,,,,,,,,
2011,NEFMC,Northeast Skate Complex,Little skate - Georges Bank / Southern New England | Asmt & Status,Y,NEFSC,Northeast Shelf,Y,2011,1,2010,Locked,Full Update,Full acceptance,Index,Survey CPUE,Y,Y,2,1,1,2,0,1,"NEFSC Memo (Thompson) Jan. 13, 2011",NEFSC,Jim Weinberg,,,,39.20000076,2010,% Change in Survey CPUE,Change in Relative Abundance,-20,% change,,,,,-9999,,,,,7.84800005,2010,kg/tow,survey CPUE 3 yr avg,3.50999999,half avg survey CPUE,7.03000021,avg survey CPUE,2.236000061,1.116000056,,,ABOVE,,,,,,,,
