"Species","Region","Year","Value","Metric","Description","Units","AssessmentYear","Age","Category"
"Black sea bass","Mid-Atlantic",1995,3105,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1996,3436,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1997,3505,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1998,3995,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1999,5096,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2000,6297,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2001,7864,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2002,8500,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2003,7583,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2004,6444,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2005,5820,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2006,4551,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2007,4072,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2008,5594,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2009,6460,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2010,8215,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2011,8258,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2012,9878,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2013,12833,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2014,17158,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2015,16552,"Biomass","Spawning Stock Biomass","Metric Tons",2017,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1968,2353.60009765625,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1969,2391.19995117188,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1970,2126.30004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1971,1283.59997558594,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1972,1619.40002441406,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1973,2428.69995117188,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1974,2236.89990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1975,3607.19995117188,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1976,3350.60009765625,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1977,4243.2998046875,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1978,3569.60009765625,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1979,2691.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1980,2140.89990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1981,1857.09997558594,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1982,2530.39990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1983,3577.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1984,2325.80004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1985,2210.30004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1986,3527.89990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1987,2697.89990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1988,2940,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1989,2727.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1990,2829.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1991,3176.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1992,2656.80004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1993,3762.39990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1994,2317.5,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1995,3801.89990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1996,3825.80004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1997,3261,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1998,1981.40002441406,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1999,2255.30004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2000,3310.39990234375,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2001,3336.10009765625,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2002,3952,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2003,3230,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2004,2732.60009765625,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2005,2383,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2006,2413.30004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2007,2338.30004882812,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2008,1924.69995117188,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2009,2002.40002441406,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2010,2485.19995117188,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",2011,1552.90002441406,"Catch","Reported Catch, Total (Mean)","Metric Tons",2012,"No age","Other"
"Black sea bass","Mid-Atlantic",1968,0.569999992847443,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1969,0.600000023841858,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1970,0.529999971389771,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1971,0.300000011920929,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1972,0.310000002384186,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1973,0.379999995231628,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1974,0.28999999165535,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1975,0.430000007152557,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1976,0.389999985694885,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1977,0.490000009536743,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1978,0.340000003576279,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1979,0.259999990463257,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1980,0.209999993443489,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1981,0.189999997615814,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1982,0.28999999165535,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1983,0.509999990463257,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1984,0.400000005960464,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1985,0.400000005960464,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1986,0.689999997615814,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1987,0.550000011920929,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1988,0.649999976158142,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1989,0.649999976158142,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1990,0.709999978542328,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1991,0.839999973773956,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1992,0.620000004768372,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1993,0.790000021457672,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1994,0.490000009536743,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1995,0.899999976158142,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1996,1.23000001907349,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1997,1.0900000333786,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1998,0.670000016689301,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1999,0.639999985694885,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2000,1.04999995231628,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2001,1.28999996185303,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2002,0.589999973773956,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2003,0.409999996423721,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2004,0.28999999165535,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2005,0.239999994635582,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2006,0.270000010728836,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2007,0.28999999165535,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2008,0.259999990463257,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2009,0.270000010728836,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2010,0.340000003576279,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",2011,0.209999993443489,"Fmort","Mean F, Age 3+","Rate",2012,"Age 3+","Other"
"Black sea bass","Mid-Atlantic",1968,20900599.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1969,15770400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1970,20108500,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1971,21194699.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1972,38497000,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1973,26297800.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1974,34253898.4375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1975,27113300.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1976,63023398.4375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1977,31970300.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1978,22338400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1979,15169099.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1980,20172599.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1981,16330900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1982,17770599.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1983,18246000,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1984,24522400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1985,26521800.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1986,24586199.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1987,20578400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1988,24301199.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1989,20215500,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1990,29107199.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1991,34980601.5625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1992,23556900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1993,18135199.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1994,20996099.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1995,25840400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1996,35119000,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1997,19660300.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1998,17686099.609375,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1999,25163000,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2000,76312703.125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2001,25808900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2002,41615101.5625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2003,23001699.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2004,14361799.8046875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2005,19178900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2006,16543699.21875,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2007,23118800.78125,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2008,19848900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2009,19825900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2010,22369400.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",2011,21015900.390625,"Recruitment","Abundance, Age 0","Number",2012,"Age 0","Other"
"Black sea bass","Mid-Atlantic",1968,6207,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1969,6270,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1970,5959,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1971,5860,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1972,7016,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1973,8790,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1974,10279,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1975,11883,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1976,11740,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1977,13258,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1978,14332,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1979,14511,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1980,13800,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1981,12949,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1982,12217,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1983,10704,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1984,8233,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1985,7852,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1986,8335,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1987,7462,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1988,7358,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1989,6773,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1990,6476,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1991,6317,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1992,6693,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1993,7641,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1994,6464,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1995,6596,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1996,5589,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1997,5277,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1998,5398,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1999,6171,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2000,6678,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2001,8973,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2002,12742,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2003,14620,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2004,15471,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2005,15217,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2006,14143,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2007,12748,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2008,11785,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2009,11710,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2010,11653,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",2011,11145,"Biomass","Spawning Stock Biomass","Metric Tons",2012,"No age","Spawning Stock"
"Black sea bass","Mid-Atlantic",1968,1930,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1969,1869,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1970,2028,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1971,1106,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1972,1573,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1973,2260,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1974,2348,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1975,3471,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1976,3452,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1977,4252,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1978,3364,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1979,1841,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1980,1992,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1981,1791,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1982,5771,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1983,3533,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1984,2650,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1985,2632,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1986,7761,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1987,2853,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
"Black sea bass","Mid-Atlantic",1988,3430,"Catch","Reported Catch, Total (Mean)","Metric Tons",2011,"No age","Other"
