"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1971-1975 mean",NA,NA,NA,2,NA,7.94604941884247,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.95"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1972-1976 mean",NA,NA,NA,2,NA,7.83180272108843,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.83"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1973-1977 mean",NA,NA,NA,2,NA,7.96606369820656,37,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.97"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1974-1978 mean",NA,NA,NA,2,NA,7.67051495016611,33,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.67"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1975-1979 mean",NA,NA,NA,2,NA,7.27366478506296,30,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.27"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1976-1980 mean",NA,NA,NA,2,NA,7.16994138080764,28,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.17"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1977-1981 mean",NA,NA,NA,2,NA,7.21014395938408,30,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.21"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1978-1982 mean",NA,NA,NA,2,NA,7.45652827415745,32,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.46"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1979-1983 mean",NA,NA,NA,2,NA,7.74484785730986,34,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.74"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1980-1984 mean",NA,NA,NA,2,NA,8.32779256831887,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.33"
